startsAdverb,hasThirdPronoun,hasDemonstrative,wh_start,pos_3gram_NNP_NNP_NNP,pos_2gram_NNP_NNP,cal_pos_1grams_tag_list,targetTitle_linsear_write_formula,targetTitle_gunning_fog,targetTitle_coleman_liau_index,targetTitleCountWords,truth_label
False,False,False,False,0,0,1,6.5,20.564705882352943,,1,no-clickbait
False,False,False,False,1,2,3,3.0,30.200000000000003,,1,no-clickbait
False,False,False,False,0,2,5,3.5,22.0,,1,clickbait
False,False,False,True,0,1,2,4.5,10.036363636363639,,1,no-clickbait
False,False,False,False,0,0,0,2.0,17.73333333333333,,1,clickbait
False,False,True,False,1,2,0,5.5,17.30909090909091,,1,clickbait
False,False,False,False,3,5,2,4.5,30.0,,1,no-clickbait
False,False,False,False,0,0,0,4.5,20.94545454545455,,1,no-clickbait
False,False,False,False,1,3,4,6.5,16.8,,1,no-clickbait
False,False,False,False,0,1,4,6.0,19.02857142857143,,1,no-clickbait
False,False,False,False,0,0,1,2.5,26.0,,1,no-clickbait
False,False,False,False,0,0,1,5.5,23.46666666666667,,1,no-clickbait
False,False,False,False,0,1,2,5.5,30.13333333333334,,1,no-clickbait
False,False,False,False,0,1,4,9.0,25.11304347826087,,0,no-clickbait
False,False,False,False,0,0,1,4.0,14.0,,1,clickbait
False,False,False,False,0,2,9,5.5,16.171428571428574,,1,no-clickbait
False,False,False,False,0,2,4,3.5,18.933333333333334,,1,no-clickbait
False,False,False,False,0,0,0,4.5,16.8,,1,no-clickbait
False,False,False,False,0,0,0,3.0,21.942857142857143,,1,clickbait
False,False,False,False,0,0,3,4.0,14.0,,1,clickbait
False,False,True,False,0,0,4,2.25,17.73333333333333,,1,no-clickbait
False,False,False,False,2,3,0,4.0,14.0,,1,clickbait
False,False,False,False,0,0,3,2.5,33.371428571428574,,0,clickbait
False,False,False,False,0,0,4,0.5,20.0,,1,no-clickbait
False,False,True,False,0,1,4,4.0,17.30909090909091,,1,no-clickbait
False,True,True,False,1,4,0,6.0,13.314285714285715,,1,no-clickbait
False,False,False,False,1,4,5,2.0,35.2,,1,no-clickbait
False,False,False,False,2,3,1,4.5,13.672727272727276,,1,no-clickbait
False,False,False,True,0,1,1,4.0,6.0,,1,no-clickbait
False,False,False,False,0,1,1,2.5,10.514285714285714,,1,no-clickbait
False,False,False,False,0,2,1,5.5,16.171428571428574,,1,no-clickbait
False,False,False,True,0,0,0,3.0,10.200000000000001,,1,clickbait
False,False,False,False,0,0,0,4.0,28.218181818181815,,1,clickbait
False,False,False,False,0,1,2,4.5,13.672727272727276,,1,no-clickbait
False,False,False,False,0,0,0,2.5,27.65714285714286,,1,clickbait
False,False,False,False,0,3,10,8.5,20.126315789473683,,1,no-clickbait
False,False,False,True,0,0,3,5.0,17.30909090909091,,1,clickbait
False,False,False,False,0,0,1,2.5,10.044444444444444,,1,clickbait
False,False,False,False,5,8,7,5.5,22.58461538461539,,1,no-clickbait
False,False,False,False,0,3,2,5.0,16.8,,1,no-clickbait
False,False,False,False,0,0,2,0.5,43.2,,1,clickbait
False,False,False,False,0,0,3,4.0,26.0,,1,no-clickbait
False,True,False,False,12,32,1,13.25,44.495250836120405,,1,no-clickbait
False,False,False,False,0,0,2,6.5,26.666666666666664,,1,no-clickbait
False,False,False,False,1,3,2,3.5,23.37777777777778,,1,clickbait
False,False,False,False,2,3,4,3.5,18.0,,1,no-clickbait
False,True,False,False,9,30,1,12.5,44.13016949152543,,1,no-clickbait
